2018-04-21 17:20:06,491 test_cases.network DEBUG    =============== CONNECTION STAGE ===============
2018-04-21 17:22:03,369 test_cases.tc_5 DEBUG    A list of files in current directory: 
  
2018-04-21 17:22:03,370 test_cases.tc_5 INFO     Step 5 is PASSED
2018-04-21 17:22:03,371 test_cases.tc_5 DEBUG    You changed a directory
2018-04-21 17:22:03,373 test_cases.tc_5 DEBUG    Your work directory is /nfs/general
 
2018-04-21 17:22:03,379 test_cases.tc_5 DEBUG    A list of files in current directory: 
 file_for_test
 
2018-04-21 17:22:03,775 test_cases.tc_6 INFO     Execute a file from a share directory. Read-write config has been set *(rw, sync)
2018-04-21 17:22:03,775 test_cases.tc_6 INFO     Step 1 is PASSED
2018-04-21 17:22:03,775 test_cases.tc_6 DEBUG    You changed a directory
2018-04-21 17:22:03,779 test_cases.tc_6 DEBUG    Your work directory is /nfs/general
 
2018-04-21 17:22:03,801 test_cases.tc_6 INFO     Step 2 is PASSED
2018-04-21 17:22:03,802 test_cases.tc_6 DEBUG    A file has been created 
2018-04-21 17:22:03,811 test_cases.tc_6 DEBUG    A list of files in current directory: 
 file_for_test
 
2018-04-21 17:22:03,825 test_cases.tc_6 INFO     Step 3 is PASSED
2018-04-21 17:22:03,825 test_cases.tc_6 DEBUG    Record data into the file has been completed successfully
2018-04-21 17:22:03,828 test_cases.tc_6 DEBUG    Data inside file is ['echo "vampires pretending to be humans pretending to be vampires"\n']
2018-04-21 17:22:03,833 test_cases.tc_6 INFO     Step 4 is PASSED
2018-04-21 17:22:03,834 test_cases.tc_6 DEBUG    The file was executed successfully
2018-04-21 17:22:05,086 test_cases.tc_7 INFO     Move a file into a share directory. Read-only config has been set *(ro, sync)
2018-04-21 17:22:05,091 test_cases.tc_7 INFO     Step 1 is PASSED
2018-04-21 17:22:05,091 test_cases.tc_7 DEBUG    The directory has been created 
2018-04-21 17:22:05,091 test_cases.tc_7 INFO     Step 2 is PASSED
2018-04-21 17:22:05,092 test_cases.tc_7 DEBUG    You changed a directory
2018-04-21 17:22:05,096 test_cases.tc_7 DEBUG    Your work directory is /home/egor/dir_for_test
 
2018-04-21 17:22:05,100 test_cases.tc_7 INFO     Step 3 is PASSED
2018-04-21 17:22:05,100 test_cases.tc_7 DEBUG    A file has been created 
2018-04-21 17:22:05,109 test_cases.tc_7 INFO     Step 4 is FAILED
2018-04-21 17:22:05,110 test_cases.tc_7 ERROR    mv: inter-device move failed: ‘file_for_test’ to ‘/nfs/general/file_for_test’; unable to remove target: Read-only file system

2018-04-21 17:22:05,115 test_cases.tc_7 DEBUG    A list of files in current directory: 
 file_for_test
 
2018-04-21 17:22:05,116 test_cases.tc_7 INFO     Step 5 is PASSED
2018-04-21 17:22:05,116 test_cases.tc_7 DEBUG    You changed a directory
2018-04-21 17:22:05,120 test_cases.tc_7 DEBUG    Your work directory is /nfs/general
 
2018-04-21 17:22:05,127 test_cases.tc_7 DEBUG    A list of files in current directory: 
  
2018-04-21 17:22:05,506 test_cases.tc_8 INFO     Remove a file from a share directory. Read-only config has been set *(ro, sync)
2018-04-21 17:22:05,982 test_cases.tc_8 INFO     Step 1 is PASSED
2018-04-21 17:22:05,982 test_cases.tc_8 DEBUG    Remote command has been SUCCESSFUL
2018-04-21 17:22:05,983 test_cases.tc_8 INFO     Step 2 is PASSED
2018-04-21 17:22:05,983 test_cases.tc_8 DEBUG    You changed a directory
2018-04-21 17:22:05,986 test_cases.tc_8 DEBUG    Your work directory is /nfs/general
 
2018-04-21 17:22:06,002 test_cases.tc_8 INFO     Step 3 is FAILED
2018-04-21 17:22:06,002 test_cases.tc_8 ERROR    rm: cannot remove ‘./file_for_test’: Read-only file system

2018-04-21 17:22:06,011 test_cases.tc_8 DEBUG    A list of files in current directory: 
 file_for_test
 
